M,Dur,A_count,Count,oriMac,date,Moment
"7.6-20,178,229,137,47,142",11.98,5.0,2634.0,"20,178,229,137,47,142",7.6,11.98
"7.6-164,201,57,205,13,69",11.98,4.0,630.0,"164,201,57,205,13,69",7.6,11.98
"7.6-36,82,106,59,81,234",3.52,2.0,76.0,"36,82,106,59,81,234",7.6,3.52
"7.6-28,54,187,20,163,246",11.98,2.0,94.0,"28,54,187,20,163,246",7.6,11.98
"7.6-8,250,121,45,167,67",11.98,2.0,206.0,"8,250,121,45,167,67",7.6,11.98
"7.6-212,26,63,183,185,195",3.47,1.0,104.0,"212,26,63,183,185,195",7.6,3.47
"7.6-184,55,101,29,72,107",11.98,1.0,1037.0,"184,55,101,29,72,107",7.6,11.98
"7.6-208,151,254,40,222,169",11.98,4.0,910.0,"208,151,254,40,222,169",7.6,11.98
"7.6-4,207,140,11,128,186",12.0,4.0,947.0,"4,207,140,11,128,186",7.6,12.0
"7.6-28,72,206,164,132,189",3.62,2.0,552.0,"28,72,206,164,132,189",7.6,3.62
"7.6-156,95,90,12,124,73",11.98,8.0,730.0,"156,95,90,12,124,73",7.6,11.98
"7.6-108,33,162,235,7,87",3.47,2.0,57.0,"108,33,162,235,7,87",7.6,3.47
"7.6-128,214,5,75,8,213",3.52,4.0,123.0,"128,214,5,75,8,213",7.6,3.52
"7.6-220,240,144,185,104,48",11.97,3.0,161.0,"220,240,144,185,104,48",7.6,11.97
"7.6-112,138,9,131,175,199",12.0,3.0,2406.0,"112,138,9,131,175,199",7.6,12.0
"7.6-220,245,5,135,188,48",3.6,1.0,46.0,"220,245,5,135,188,48",7.6,3.6
"7.6-156,174,211,194,70,96",3.42,1.0,8.0,"156,174,211,194,70,96",7.6,3.42
"7.6-64,68,253,44,108,157",2.27,4.0,109.0,"64,68,253,44,108,157",7.6,2.27
"7.6-48,69,150,180,24,101",12.0,2.0,405.0,"48,69,150,180,24,101",7.6,12.0
"7.6-64,140,31,52,191,11",12.0,4.0,141.0,"64,140,31,52,191,11",7.6,12.0
"7.6-240,27,108,132,118,12",3.55,2.0,36.0,"240,27,108,132,118,12",7.6,3.55
"7.6-108,247,132,46,111,88",2.37,1.0,8.0,"108,247,132,46,111,88",7.6,2.37
"7.6-132,65,103,218,221,212",11.95,3.0,89.0,"132,65,103,218,221,212",7.6,11.95
"7.6-36,161,96,63,189,117",3.03,2.0,11.0,"36,161,96,63,189,117",7.6,3.03
"7.6-140,206,78,224,75,99",11.98,5.0,348.0,"140,206,78,224,75,99",7.6,11.98
"7.6-36,161,96,61,220,245",12.0,2.0,153.0,"36,161,96,61,220,245",7.6,12.0
"7.6-240,103,40,135,90,171",12.0,2.0,256.0,"240,103,40,135,90,171",7.6,12.0
"7.6-220,245,5,135,187,95",11.95,2.0,38.0,"220,245,5,135,187,95",7.6,11.95
"7.6-28,66,125,50,93,223",11.97,2.0,59.0,"28,66,125,50,93,223",7.6,11.97
"7.6-164,201,57,9,43,253",3.67,4.0,155.0,"164,201,57,9,43,253",7.6,3.67
"7.6-104,74,174,67,128,132",3.33,3.0,19.0,"104,74,174,67,128,132",7.6,3.33
"7.6-164,204,185,229,56,107",5.62,4.0,85.0,"164,204,185,229,56,107",7.6,5.62
"7.6-192,46,37,42,205,205",11.98,2.0,49.0,"192,46,37,42,205,205",7.6,11.98
"7.6-140,37,5,134,24,48",12.0,2.0,52.0,"140,37,5,134,24,48",7.6,12.0
"7.6-64,200,31,163,246,107",12.0,2.0,7.0,"64,200,31,163,246,107",7.6,12.0
"7.6-236,193,171,217,136,197",3.65,2.0,61.0,"236,193,171,217,136,197",7.6,3.65
"7.6-124,218,195,126,234,181",12.02,3.0,63.0,"124,218,195,126,234,181",7.6,12.02
"7.6-8,74,207,99,147,223",9.75,7.0,44.0,"8,74,207,99,147,223",7.6,9.75
"7.6-28,2,25,109,232,179",3.48,1.0,6.0,"28,2,25,109,232,179",7.6,3.48
"7.6-172,115,82,76,172,89",3.83,4.0,905.0,"172,115,82,76,172,89",7.6,3.83
"7.6-72,125,46,236,65,206",3.13,2.0,4.0,"72,125,46,236,65,206",7.6,3.13
"7.6-48,231,188,153,110,173",1.7,2.0,18.0,"48,231,188,153,110,173",7.6,1.7
"7.6-228,163,47,85,234,94",3.83,2.0,9.0,"228,163,47,85,234,94",7.6,3.83
"7.6-72,70,193,160,220,65",3.63,2.0,88.0,"72,70,193,160,220,65",7.6,3.63
"7.6-252,171,144,115,155,102",3.33,1.0,7.0,"252,171,144,115,155,102",7.6,3.33
"7.6-32,238,40,60,214,136",2.98,1.0,5.0,"32,238,40,60,214,136",7.6,2.98
"7.6-36,161,96,62,63,219",12.28,1.0,58.0,"36,161,96,62,63,219",7.6,12.28
"7.6-164,125,159,153,152,106",12.27,5.0,209.0,"164,125,159,153,152,106",7.6,12.27
"7.6-24,2,174,207,62,51",3.7,2.0,14.0,"24,2,174,207,62,51",7.6,3.7
"7.6-188,206,37,205,243,112",3.73,2.0,15.0,"188,206,37,205,243,112",7.6,3.73
"7.6-212,131,4,236,83,154",4.03,2.0,4.0,"212,131,4,236,83,154",7.6,4.03
"7.6-48,74,38,155,86,98",1.68,2.0,2.0,"48,74,38,155,86,98",7.6,1.68
"7.6-156,95,91,12,124,73",2.47,1.0,3.0,"156,95,91,12,124,73",7.6,2.47
"7.6-92,74,31,185,183,247",3.42,1.0,2.0,"92,74,31,185,183,247",7.6,3.42
"7.6-48,74,38,155,214,96",3.58,1.0,3.0,"48,74,38,155,214,96",7.6,3.58
"7.6-20,94,105,93,76,199",12.77,4.0,146.0,"20,94,105,93,76,199",7.6,12.77
"7.6-112,58,81,118,159,27",4.55,2.0,51.0,"112,58,81,118,159,27",7.6,4.55
"7.6-4,207,141,11,128,186",3.63,2.0,2.0,"4,207,141,11,128,186",7.6,3.63
"7.6-204,8,251,70,125,190",4.48,5.0,7.0,"204,8,251,70,125,190",7.6,4.48
"7.6-244,96,226,16,224,222",4.4,1.0,5.0,"244,96,226,16,224,222",7.6,4.4
"7.6-72,149,7,30,171,33",4.68,2.0,2.0,"72,149,7,30,171,33",7.6,4.68
"7.6-88,102,186,101,140,144",12.9,2.0,40.0,"88,102,186,101,140,144",7.6,12.9
"7.6-236,1,238,73,129,10",3.9,1.0,17.0,"236,1,238,73,129,10",7.6,3.9
"7.6-164,125,159,153,164,102",4.53,2.0,9.0,"164,125,159,153,164,102",7.6,4.53
"7.6-72,125,46,223,247,70",3.23,2.0,3.0,"72,125,46,223,247,70",7.6,3.23
"7.6-48,74,39,155,214,98",2.67,2.0,2.0,"48,74,39,155,214,98",7.6,2.67
"7.6-156,40,64,137,101,160",3.53,2.0,6.0,"156,40,64,137,101,160",7.6,3.53
"7.6-36,82,106,59,81,232",4.18,1.0,2.0,"36,82,106,59,81,232",7.6,4.18
"7.6-176,223,193,193,47,17",5.52,3.0,4.0,"176,223,193,193,47,17",7.6,5.52
"7.6-48,74,38,155,215,98",4.73,1.0,2.0,"48,74,38,155,215,98",7.6,4.73
"7.6-176,241,236,211,105,14",5.83,2.0,49.0,"176,241,236,211,105,14",7.6,5.83
"7.6-88,133,233,252,89,161",14.77,2.0,78.0,"88,133,233,252,89,161",7.6,14.77
"7.6-116,21,117,93,235,62",14.82,2.0,51.0,"116,21,117,93,235,62",7.6,14.82
"7.6-124,161,119,225,7,54",6.17,5.0,10.0,"124,161,119,225,7,54",7.6,6.17
"7.6-152,59,103,48,125,41",6.13,2.0,3.0,"152,59,103,48,125,41",7.6,6.13
"7.6-108,217,76,95,253,145",5.98,6.0,8.0,"108,217,76,95,253,145",7.6,5.98
"7.6-36,161,96,62,65,247",6.43,6.0,14.0,"36,161,96,62,65,247",7.6,6.43
"7.6-24,208,197,242,97,13",6.63,4.0,12.0,"24,208,197,242,97,13",7.6,6.63
"7.6-248,45,124,72,127,16",6.55,5.0,58.0,"248,45,124,72,127,16",7.6,6.55
"7.6-204,102,10,209,112,18",6.58,1.0,3.0,"204,102,10,209,112,18",7.6,6.58
"7.6-36,17,69,161,50,93",15.07,3.0,248.0,"36,17,69,161,50,93",7.6,15.07
"7.6-92,102,108,72,204,105",6.38,8.0,39.0,"92,102,108,72,204,105",7.6,6.38
"7.6-8,250,121,183,224,101",6.37,2.0,10.0,"8,250,121,183,224,101",7.6,6.37
"7.6-152,59,103,48,125,65",6.32,2.0,2.0,"152,59,103,48,125,65",7.6,6.32
"7.6-156,116,3,24,100,145",6.48,3.0,18.0,"156,116,3,24,100,145",7.6,6.48
"7.6-4,212,66,137,157,91",6.5,2.0,2.0,"4,212,66,137,157,91",7.6,6.5
"7.6-208,151,254,41,36,162",6.93,3.0,11.0,"208,151,254,41,36,162",7.6,6.93
"7.6-28,209,7,152,33,91",6.77,2.0,3.0,"28,209,7,152,33,91",7.6,6.77
"7.6-56,138,190,37,3,117",6.67,2.0,2.0,"56,138,190,37,3,117",7.6,6.67
"7.6-136,191,228,175,202,9",6.83,2.0,2.0,"136,191,228,175,202,9",7.6,6.83
"7.6-76,24,154,44,218,251",7.0,1.0,3.0,"76,24,154,44,218,251",7.6,7.0
"7.6-60,134,209,115,214,231",7.08,2.0,37.0,"60,134,209,115,214,231",7.6,7.08
"7.6-172,93,92,15,82,225",6.97,2.0,6.0,"172,93,92,15,82,225",7.6,6.97
"7.6-112,71,233,44,21,7",15.62,2.0,18.0,"112,71,233,44,21,7",7.6,15.62
"7.6-212,109,109,134,11,60",23.88,2.0,52.0,"212,109,109,134,11,60",7.6,23.88
"7.7-32,50,51,210,96,61",11.98,6.0,5390.0,"32,50,51,210,96,61",7.7,11.98
"7.7-20,94,105,93,76,199",2.7,5.0,1349.0,"20,94,105,93,76,199",7.7,2.7
"7.7-48,74,38,155,214,98",12.0,12.0,11741.0,"48,74,38,155,214,98",7.7,12.0
"7.7-208,151,254,41,36,198",11.97,4.0,1433.0,"208,151,254,41,36,198",7.7,11.97
"7.7-204,129,42,183,42,73",11.97,10.0,383.0,"204,129,42,183,42,73",7.7,11.97
"7.7-112,71,233,44,21,7",11.98,2.0,1201.0,"112,71,233,44,21,7",7.7,11.98
"7.7-48,74,38,133,29,213",11.98,6.0,3301.0,"48,74,38,133,29,213",7.7,11.98
"7.7-112,138,9,131,175,199",11.92,3.0,1909.0,"112,138,9,131,175,199",7.7,11.92
"7.7-20,178,229,137,47,142",11.98,6.0,3018.0,"20,178,229,137,47,142",7.7,11.98
"7.7-164,201,57,205,13,69",3.47,7.0,964.0,"164,201,57,205,13,69",7.7,3.47
"7.7-212,109,109,134,11,60",0.1,2.0,49.0,"212,109,109,134,11,60",7.7,0.1
"7.7-240,103,40,135,90,171",11.98,1.0,393.0,"240,103,40,135,90,171",7.7,11.98
"7.7-252,107,240,89,142,53",12.0,2.0,2455.0,"252,107,240,89,142,53",7.7,12.0
"7.7-28,54,187,20,163,246",4.03,3.0,77.0,"28,54,187,20,163,246",7.7,4.03
"7.7-184,148,54,32,44,55",3.72,6.0,1506.0,"184,148,54,32,44,55",7.7,3.72
"7.7-24,2,174,207,62,51",4.03,2.0,49.0,"24,2,174,207,62,51",7.7,4.03
"7.7-4,207,140,11,128,186",12.0,4.0,980.0,"4,207,140,11,128,186",7.7,12.0
"7.7-156,95,90,12,124,73",4.17,7.0,662.0,"156,95,90,12,124,73",7.7,4.17
"7.7-48,69,150,180,24,101",12.0,2.0,621.0,"48,69,150,180,24,101",7.7,12.0
"7.7-8,250,121,45,167,67",4.17,6.0,676.0,"8,250,121,45,167,67",7.7,4.17
"7.7-184,55,101,29,72,107",12.0,2.0,1169.0,"184,55,101,29,72,107",7.7,12.0
"7.7-36,17,69,161,50,93",3.68,3.0,524.0,"36,17,69,161,50,93",7.7,3.68
"7.7-208,151,254,40,222,169",4.03,3.0,671.0,"208,151,254,40,222,169",7.7,4.03
"7.7-220,245,5,135,187,95",4.13,2.0,93.0,"220,245,5,135,187,95",7.7,4.13
"7.7-64,68,253,44,108,157",11.98,2.0,71.0,"64,68,253,44,108,157",7.7,11.98
"7.7-36,161,96,62,63,219",2.22,2.0,100.0,"36,161,96,62,63,219",7.7,2.22
"7.7-64,140,31,52,191,11",12.0,4.0,415.0,"64,140,31,52,191,11",7.7,12.0
"7.7-220,240,144,185,104,48",12.0,3.0,504.0,"220,240,144,185,104,48",7.7,12.0
"7.7-88,133,233,252,89,161",4.18,2.0,345.0,"88,133,233,252,89,161",7.7,4.18
"7.7-128,214,5,75,8,213",12.0,6.0,154.0,"128,214,5,75,8,213",7.7,12.0
"7.7-92,102,108,72,204,105",12.0,3.0,235.0,"92,102,108,72,204,105",7.7,12.0
"7.7-108,33,162,235,7,87",4.13,2.0,97.0,"108,33,162,235,7,87",7.7,4.13
"7.7-240,98,90,159,90,25",11.97,10.0,239.0,"240,98,90,159,90,25",7.7,11.97
"7.7-140,37,5,134,24,48",8.6,2.0,152.0,"140,37,5,134,24,48",7.7,8.6
"7.7-140,206,78,224,75,99",0.98,4.0,57.0,"140,206,78,224,75,99",7.7,0.98
"7.7-36,82,106,59,81,234",12.02,2.0,267.0,"36,82,106,59,81,234",7.7,12.02
"7.7-8,250,121,194,19,245",4.1,3.0,157.0,"8,250,121,194,19,245",7.7,4.1
"7.7-240,27,108,132,118,12",11.95,2.0,56.0,"240,27,108,132,118,12",7.7,11.95
"7.7-28,66,125,50,93,223",11.98,2.0,57.0,"28,66,125,50,93,223",7.7,11.98
"7.7-88,214,151,17,133,245",12.02,1.0,16.0,"88,214,151,17,133,245",7.7,12.02
"7.7-124,218,195,126,234,181",12.03,3.0,87.0,"124,218,195,126,234,181",7.7,12.03
"7.7-8,250,121,183,224,101",12.03,2.0,82.0,"8,250,121,183,224,101",7.7,12.03
"7.7-88,198,240,41,58,135",12.02,11.0,788.0,"88,198,240,41,58,135",7.7,12.02
"7.7-192,46,37,42,205,205",4.22,2.0,78.0,"192,46,37,42,205,205",7.7,4.22
"7.7-36,161,96,61,220,245",4.08,2.0,243.0,"36,161,96,61,220,245",7.7,4.08
"7.7-164,201,57,9,43,253",12.02,6.0,237.0,"164,201,57,9,43,253",7.7,12.02
"7.7-244,96,226,16,224,222",4.0,1.0,6.0,"244,96,226,16,224,222",7.7,4.0
"7.7-164,204,185,229,56,107",12.0,6.0,79.0,"164,204,185,229,56,107",7.7,12.0
"7.7-48,74,38,27,214,98",3.95,2.0,3.0,"48,74,38,27,214,98",7.7,3.95
"7.7-88,102,186,101,140,144",12.12,2.0,286.0,"88,102,186,101,140,144",7.7,12.12
"7.7-104,48,161,48,74,38",0.27,1.0,2.0,"104,48,161,48,74,38",7.7,0.27
"7.7-240,144,185,104,48,183",8.72,1.0,2.0,"240,144,185,104,48,183",7.7,8.72
"7.7-48,231,188,153,110,173",12.12,1.0,12.0,"48,231,188,153,110,173",7.7,12.12
"7.7-164,125,159,153,164,102",4.2,2.0,16.0,"164,125,159,153,164,102",7.7,4.2
"7.7-104,74,174,67,128,132",12.1,4.0,19.0,"104,74,174,67,128,132",7.7,12.1
"7.7-168,48,74,38,155,214",3.98,2.0,3.0,"168,48,74,38,155,214",7.7,3.98
"7.7-28,2,25,109,232,179",4.3,2.0,67.0,"28,2,25,109,232,179",7.7,4.3
"7.7-64,140,31,142,167,149",12.2,7.0,145.0,"64,140,31,142,167,149",7.7,12.2
"7.7-164,125,159,153,152,106",8.18,5.0,208.0,"164,125,159,153,152,106",7.7,8.18
"7.7-132,65,103,218,221,212",12.15,2.0,41.0,"132,65,103,218,221,212",7.7,12.15
"7.7-108,217,76,95,253,145",12.02,1.0,10.0,"108,217,76,95,253,145",7.7,12.02
"7.7-152,207,83,224,116,138",10.87,2.0,5.0,"152,207,83,224,116,138",7.7,10.87
"7.7-164,125,159,153,152,107",2.3,1.0,2.0,"164,125,159,153,152,107",7.7,2.3
"7.7-164,125,159,153,152,74",2.32,1.0,3.0,"164,125,159,153,152,74",7.7,2.32
"7.7-24,208,197,242,97,13",4.03,4.0,8.0,"24,208,197,242,97,13",7.7,4.03
"7.7-8,74,207,99,147,223",4.55,7.0,108.0,"8,74,207,99,147,223",7.7,4.55
"7.7-36,161,96,63,189,117",3.05,2.0,25.0,"36,161,96,63,189,117",7.7,3.05
"7.7-112,58,81,118,159,27",12.4,2.0,91.0,"112,58,81,118,159,27",7.7,12.4
"7.7-36,201,57,205,13,69",1.85,1.0,2.0,"36,201,57,205,13,69",7.7,1.85
"7.7-184,148,54,48,44,55",1.85,1.0,2.0,"184,148,54,48,44,55",7.7,1.85
"7.7-156,227,63,154,26,70",2.38,1.0,2.0,"156,227,63,154,26,70",7.7,2.38
"7.7-156,116,3,24,100,145",4.8,5.0,71.0,"156,116,3,24,100,145",7.7,4.8
"7.7-72,125,46,223,247,70",2.45,2.0,2.0,"72,125,46,223,247,70",7.7,2.45
"7.7-92,74,31,185,183,247",4.45,2.0,7.0,"92,74,31,185,183,247",7.7,4.45
"7.7-208,151,254,41,36,162",4.78,2.0,25.0,"208,151,254,41,36,162",7.7,4.78
"7.7-72,149,7,30,171,33",4.65,2.0,11.0,"72,149,7,30,171,33",7.7,4.65
"7.7-64,200,31,163,246,107",4.98,2.0,17.0,"64,200,31,163,246,107",7.7,4.98
"7.7-228,163,47,85,234,94",13.3,2.0,33.0,"228,163,47,85,234,94",7.7,13.3
"7.7-236,1,238,73,129,10",13.32,1.0,10.0,"236,1,238,73,129,10",7.7,13.32
"7.7-48,66,38,155,214,98",4.75,3.0,4.0,"48,66,38,155,214,98",7.7,4.75
"7.7-48,74,36,155,214,98",4.38,1.0,2.0,"48,74,36,155,214,98",7.7,4.38
"7.7-212,131,4,236,83,154",4.25,2.0,3.0,"212,131,4,236,83,154",7.7,4.25
"7.7-108,247,132,46,111,88",5.33,3.0,10.0,"108,247,132,46,111,88",7.7,5.33
"7.7-212,26,63,183,185,195",5.63,1.0,3.0,"212,26,63,183,185,195",7.7,5.63
"7.7-156,40,64,137,101,160",5.6,3.0,22.0,"156,40,64,137,101,160",7.7,5.6
"7.7-48,74,6,155,214,98",4.13,1.0,3.0,"48,74,6,155,214,98",7.7,4.13
"7.7-156,245,49,209,69,163",5.8,3.0,10.0,"156,245,49,209,69,163",7.7,5.8
"7.7-48,74,38,155,214,96",5.32,2.0,4.0,"48,74,38,155,214,96",7.7,5.32
"7.7-124,161,119,225,7,54",4.7,2.0,19.0,"124,161,119,225,7,54",7.7,4.7
"7.7-236,193,171,217,136,197",14.33,2.0,127.0,"236,193,171,217,136,197",7.7,14.33
"7.7-176,223,193,193,47,17",5.08,2.0,2.0,"176,223,193,193,47,17",7.7,5.08
"7.7-72,125,46,236,65,206",5.98,1.0,2.0,"72,125,46,236,65,206",7.7,5.98
"7.7-156,174,211,194,70,96",6.77,1.0,3.0,"156,174,211,194,70,96",7.7,6.77
"7.7-168,226,195,232,204,104",5.37,4.0,4.0,"168,226,195,232,204,104",7.7,5.37
"7.7-168,226,195,233,6,76",5.38,3.0,3.0,"168,226,195,233,6,76",7.7,5.38
"7.7-48,74,38,219,214,98",6.23,2.0,3.0,"48,74,38,219,214,98",7.7,6.23
"7.7-48,74,39,155,214,98",14.5,2.0,2.0,"48,74,39,155,214,98",7.7,14.5
"7.7-32,50,55,210,96,61",6.17,1.0,2.0,"32,50,55,210,96,61",7.7,6.17
"7.7-172,93,92,15,82,225",14.95,2.0,130.0,"172,93,92,15,82,225",7.7,14.95
"7.7-76,24,154,44,218,251",6.67,1.0,12.0,"76,24,154,44,218,251",7.7,6.67
"7.7-64,140,31,52,183,11",6.35,1.0,2.0,"64,140,31,52,183,11",7.7,6.35
"7.7-152,59,103,48,125,41",6.87,1.0,3.0,"152,59,103,48,125,41",7.7,6.87
"7.7-116,21,117,93,235,62",7.33,2.0,46.0,"116,21,117,93,235,62",7.7,7.33
"7.7-216,50,20,254,96,65",7.15,1.0,2.0,"216,50,20,254,96,65",7.7,7.15
"7.7-248,45,124,72,127,16",7.33,5.0,178.0,"248,45,124,72,127,16",7.7,7.33
"7.7-208,90,253,157,51,31",7.35,5.0,5.0,"208,90,253,157,51,31",7.7,7.35
"7.7-112,74,38,155,214,98",6.83,1.0,2.0,"112,74,38,155,214,98",7.7,6.83
"7.7-4,212,66,137,157,91",6.75,2.0,4.0,"4,212,66,137,157,91",7.7,6.75
"7.7-28,209,7,152,33,91",15.23,2.0,13.0,"28,209,7,152,33,91",7.7,15.23
"7.7-8,74,207,67,147,223",7.27,2.0,2.0,"8,74,207,67,147,223",7.7,7.27
"7.7-72,76,134,151,123,179",7.3,1.0,11.0,"72,76,134,151,123,179",7.7,7.3
"7.7-224,185,77,225,63,182",7.75,2.0,2.0,"224,185,77,225,63,182",7.7,7.75
"7.7-164,4,80,242,145,20",7.78,3.0,4.0,"164,4,80,242,145,20",7.7,7.78
"7.7-220,245,5,135,188,48",8.02,1.0,9.0,"220,245,5,135,188,48",7.7,8.02
"7.7-92,255,255,144,7,131",7.95,2.0,15.0,"92,255,255,144,7,131",7.7,7.95
"7.7-196,152,92,41,196,143",8.02,1.0,8.0,"196,152,92,41,196,143",7.7,8.02
"7.7-208,64,239,26,134,191",7.98,7.0,8.0,"208,64,239,26,134,191",7.7,7.98
"7.7-40,53,69,96,185,108",11.93,3.0,50.0,"40,53,69,96,185,108",7.7,11.93
"7.7-168,152,146,10,133,107",23.83,1.0,9.0,"168,152,146,10,133,107",7.7,23.83
"7.7-136,191,228,175,202,9",23.82,2.0,14.0,"136,191,228,175,202,9",7.7,23.82
"7.7-172,115,82,76,172,89",23.93,2.0,7.0,"172,115,82,76,172,89",7.7,23.93
"7.8-32,50,51,210,96,61",11.98,6.0,4184.0,"32,50,51,210,96,61",7.8,11.98
"7.8-208,151,254,41,36,198",11.9,3.0,173.0,"208,151,254,41,36,198",7.8,11.9
"7.8-48,74,38,133,29,213",11.98,7.0,4251.0,"48,74,38,133,29,213",7.8,11.98
"7.8-48,74,38,155,214,98",12.0,12.0,11646.0,"48,74,38,155,214,98",7.8,12.0
"7.8-168,152,146,10,133,107",4.48,1.0,313.0,"168,152,146,10,133,107",7.8,4.48
"7.8-172,115,82,76,172,89",11.82,2.0,305.0,"172,115,82,76,172,89",7.8,11.82
"7.8-20,178,229,137,47,142",11.98,6.0,3244.0,"20,178,229,137,47,142",7.8,11.98
"7.8-112,71,233,44,21,7",11.98,2.0,901.0,"112,71,233,44,21,7",7.8,11.98
"7.8-136,191,228,175,202,9",4.03,2.0,69.0,"136,191,228,175,202,9",7.8,4.03
"7.8-64,140,31,52,191,11",11.95,4.0,492.0,"64,140,31,52,191,11",7.8,11.95
"7.8-252,107,240,89,142,53",12.0,2.0,3126.0,"252,107,240,89,142,53",7.8,12.0
"7.8-64,140,31,142,167,149",4.87,5.0,508.0,"64,140,31,142,167,149",7.8,4.87
"7.8-220,240,144,185,104,48",11.98,3.0,834.0,"220,240,144,185,104,48",7.8,11.98
"7.8-184,55,101,29,72,107",12.0,4.0,1534.0,"184,55,101,29,72,107",7.8,12.0
"7.8-4,207,140,11,128,186",12.0,4.0,504.0,"4,207,140,11,128,186",7.8,12.0
